cliente_id,nome,sobrenome,sexo,idade,email,telefone,cidade,estado,data_cadastro
1,Arthur,Santos,M,19.0,arthur.santos755@gmail.com,(65)91520-1488,Rio de Janeiro,SP,25-02-23
2,Theo,Teixeira,F,52.0,theo.teixeira829@gmail.com,(46)93547-4527,Florianópolis,PR,23-12-06
3,João,Freitas,F,47.0,invalido,Invalido,Londrina,RJ,24-02-18
4,Arthur,Carvalho,M,28.0,arthur.carvalho719@gmail.com,(31)98573-7216,Curitiba,MT,23-03-26
5,Caio,Moreira,M,21.0,invalido,(94)99179-7482,Goiânia,CE,25-02-23
6,Nicolas,Melo,F,45.0,nicolas.melo142@yahoo.com.br,Invalido,Niterói,PE,24-05-14
7,Ricardo,Gomes,F,56.0,ricardo.gomes882@gmail.com,(45)96573-2827,Londrina,CE,23-06-24
8,Murilo,Pereira,F,50.0,murilo.pereira520@hotmail.com,(78)91009-6310,Invalido,ES,23-09-22
9,Beatriz,Melo,M,48.0,beatriz.melo546@hotmail.com,(44)99645-7932,Porto Alegre,CE,23-02-16
10,Fernando,Monteiro,F,59.0,fernando.monteiro231@gmail.com,(39)91117-2163,Campinas,PR,22-05-26
11,Camila,Monteiro,M,49.0,camila.monteiro904@yahoo.com.br,(23)92588-8062,Joinville,CE,22-04-21
12,Theo,Santos,F,21.0,theo.santos112@hotmail.com,(34)95563-8579,Caxias do Sul,PA,22-04-14
13,Bianca,Silva,M,80.0,bianca.silva498@yahoo.com.br,Invalido,São Paulo,ES,24-07-20
15,Marcos,Pereira,M,22.0,marcos.pereira965@hotmail.com,Invalido,Rio de Janeiro,MT,23-10-10
16,Amanda,Monteiro,F,63.0,amanda.monteiro688@outlook.com,(12)98508-2638,Rio de Janeiro,MG,23-12-16
17,Beatriz,Carvalho,F,36.0,beatriz.carvalho827@gmail.com,(24)93200-5333,Niterói,MG,23-07-12
18,Amanda,Teixeira,F,39.0,amanda.teixeira258@gmail.com,(11)96464-3143,Curitiba,CE,24-05-25
19,Paulo,Oliveira,M,78.0,paulo.oliveira855@outlook.com,(50)96974-1653,Joinville,RJ,23-12-26
20,Roberto,Correia,M,65.0,roberto.correia820@hotmail.com,Invalido,Florianópolis,PE,23-05-24
21,Samuel,Santos,F,42.0,samuel.santos837@yahoo.com.br,(39)91387-4164,Salvador,ES,23-07-26
22,Renata,Gomes,F,61.0,renata.gomes119@outlook.com,(24)98119-6663,Florianópolis,RJ,24-02-28
23,Julia,Rodrigues,M,20.0,julia.rodrigues826@hotmail.com,(53)96143-3041,Londrina,PR,24-04-04
24,Carolina,Lima,F,30.0,carolina.lima925@hotmail.com,(11)95978-5700,Porto Alegre,PE,23-10-22
25,Eduardo,Monteiro,M,31.0,eduardo.monteiro291@outlook.com,(50)94680-4262,Invalido,GO,22-05-30
26,Arthur,Melo,F,30.0,arthur.melo250@hotmail.com,Invalido,Niterói,ES,24-11-26
27,Carolina,Costa,F,76.0,carolina.costa476@outlook.com,(75)97991-9976,Goiânia,GO,24-07-10
29,Diego,Araujo,M,47.0,diego.araujo399@gmail.com,(11)96763-5892,Salvador,BA,25-01-07
30,Bianca,Correia,M,75.0,bianca.correia498@gmail.com,(32)98657-3091,Vitória,MS,25-03-01
32,Fernanda,Ribeiro,M,22.0,fernanda.ribeiro973@hotmail.com,Invalido,Belo Horizonte,RJ,25-03-01
34,Carlos,Teixeira,M,67.0,carlos.teixeira580@gmail.com,(75)96590-1207,Feira de Santana,PR,24-07-30
35,Daniel,Pereira,F,64.0,daniel.pereira942@yahoo.com.br,(52)95022-2419,Curitiba,GO,25-03-13
36,Ricardo,Nascimento,F,19.0,ricardo.nascimento218@outlook.com,(46)91166-9464,Porto Alegre,GO,25-02-11
37,Samuel,Dias,F,59.0,samuel.dias96@outlook.com,(85)97046-8753,Recife,CE,25-02-01
38,Samuel,Rocha,M,35.0,samuel.rocha198@outlook.com,(34)94138-4545,Cuiabá,ES,24-12-10
39,Carlos,Ferreira,M,36.0,carlos.ferreira726@hotmail.com,(27)99042-2680,São Paulo,GO,23-11-29
40,Pedro,Rodrigues,M,78.0,invalido,(49)92395-5066,Niterói,MS,23-04-08
44,Bernardo,Melo,F,55.0,bernardo.melo782@hotmail.com,(34)98141-9056,Rio de Janeiro,PR,22-08-03
45,Diego,Martins,F,62.0,diego.martins564@gmail.com,(62)99431-1018,Recife,RS,24-10-17
46,Murilo,Souza,M,31.0,murilo.souza449@yahoo.com.br,(41)93594-6091,Invalido,RS,22-08-21
47,Paulo,Ribeiro,F,71.0,paulo.ribeiro280@yahoo.com.br,(81)93369-7284,Porto Alegre,MG,22-05-23
48,Roberto,Nascimento,F,77.0,roberto.nascimento290@outlook.com,(30)98316-9824,Cuiabá,MT,24-02-12
49,Bruno,Ferreira,F,80.0,invalido,(60)93492-9115,Campinas,PR,22-07-25
50,Eduardo,Santos,M,51.0,invalido,(94)92315-6383,Recife,CE,24-09-26
51,João,Correia,F,22.0,invalido,(23)98269-3725,Londrina,PA,23-08-24
52,Daniel,Lima,M,33.0,daniel.lima81@yahoo.com.br,(29)94804-8555,Curitiba,ES,24-08-10
54,Camila,Silva,M,54.0,camila.silva764@yahoo.com.br,(40)96772-4588,Porto Alegre,CE,22-10-08
55,Arthur,Ribeiro,F,48.0,arthur.ribeiro374@hotmail.com,(33)94289-3165,Recife,MT,23-07-13
56,Larissa,Dias,F,79.0,larissa.dias480@gmail.com,(97)97511-6992,Rio de Janeiro,PA,24-07-20
57,Nicolas,Monteiro,F,34.0,invalido,(93)92035-8606,Londrina,SP,22-03-18
58,Vanessa,Santos,M,24.0,vanessa.santos380@yahoo.com.br,(94)92622-9017,Vitória,SP,24-01-29
59,Eduardo,Costa,F,72.0,invalido,(69)92501-4475,Vitória,RS,23-05-14
60,Tatiane,Ferreira,M,22.0,tatiane.ferreira833@hotmail.com,(11)95542-3370,Belo Horizonte,RJ,22-02-22
61,Vinicius,Costa,M,55.0,vinicius.costa130@yahoo.com.br,(57)99408-2786,Goiânia,SP,24-12-03
62,Theo,Silva,F,21.0,theo.silva111@yahoo.com.br,(52)93430-2076,Belo Horizonte,MT,23-10-28
63,Helena,Barbosa,F,36.0,helena.barbosa719@gmail.com,(38)98046-8398,Caxias do Sul,BA,24-05-01
64,Bruno,Martins,F,38.0,invalido,(58)93131-1982,Fortaleza,PE,22-09-08
65,Davi,Moreira,M,45.0,davi.moreira615@outlook.com,(95)98900-4674,Niterói,RJ,23-07-25
66,Daniel,Araujo,M,80.0,invalido,(54)96751-1100,Uberlândia,BA,22-05-23
67,Arthur,Silva,M,23.0,arthur.silva465@outlook.com,(83)92391-1861,Belo Horizonte,PE,22-06-17
69,Amanda,Moreira,F,26.0,amanda.moreira8@yahoo.com.br,(40)99196-6802,Rio de Janeiro,BA,22-02-08
70,Lucas,Nascimento,F,54.0,lucas.nascimento428@outlook.com,Invalido,Florianópolis,GO,24-01-12
71,Carlos,Costa,M,45.0,carlos.costa318@outlook.com,Invalido,Campo Grande,PR,23-12-21
72,Theo,Lima,F,33.0,theo.lima617@hotmail.com,(91)99095-8601,Fortaleza,MS,23-10-24
73,Arthur,Nascimento,F,27.0,arthur.nascimento311@outlook.com,Invalido,Invalido,SC,22-06-07
74,Marcos,Correia,F,56.0,marcos.correia978@gmail.com,(52)98792-9214,Belo Horizonte,ES,23-12-05
75,Marcos,Barbosa,M,59.0,marcos.barbosa450@hotmail.com,(54)91857-6482,Rio de Janeiro,BA,23-08-05
