cliente_id,nome,sobrenome,sexo,idade,email,telefone,cidade,estado,data_cadastro
1,Arthur,Santos,M,19,arthur.santos755@gmail.com,(65)91520-1488,Rio de Janeiro,SP,2025-02-23
2,Theo,Teixeira,F,52,theo.teixeira829@gmail.com,(46)93547-4527,Florianópolis,PR,2023-12-06
3,João,Freitas,F,47,joão.freitas301@outlook.com,abc123,Londrina,RJ,2024-02-18
4,Arthur,Carvalho,M,28,arthur.carvalho719@gmail.com,(31)98573-7216,Curitiba,MT,2023-03-26
5,Caio,Moreira,M,21,,(94)99179-7482,Goiânia,CE,2025-02-23
6,Nicolas,Melo,F,45,nicolas.melo142@yahoo.com.br,,Niterói,PE,2024-05-14
7,Ricardo,Gomes,F,56,ricardo.gomes882@gmail.com,(45)96573-2827,Londrina,CE,2023-06-24
8,Murilo,Pereira,F,50,murilo.pereira520@hotmail.com,(78)91009-6310,,ES,2023-09-22
9,Beatriz,Melo,M,,beatriz.melo546@hotmail.com,(44)99645-7932,Porto Alegre,CE,2023-02-16
10,Fernando,Monteiro,F,59,fernando.monteiro231@gmail.com,(39)91117-2163,Campinas,PR,2022-05-26
11,Camila,Monteiro,M,49,camila.monteiro904@yahoo.com.br,(23)92588-8062,Joinville,CE,2022-04-21
12,Theo,Santos,F,21,theo.santos112@hotmail.com,(34)95563-8579,Caxias do Sul,Sao Paulo,2022-04-14
13,Bianca,Silva,M,80,bianca.silva498@yahoo.com.br,,São Paulo,ES,2024-07-20
14,Samuel,Freitas,F,68,samuel.freitas304@hotmail.com,(51)91936-1821,Fortaleza,MT,99/99/9999
15,Marcos,Pereira,M,22,marcos.pereira965@hotmail.com,,Rio de Janeiro,MT,2023-10-10
16,Amanda,Monteiro,F,63,amanda.monteiro688@outlook.com,(12)98508-2638,Rio de Janeiro,MG,2023-12-16
17,Beatriz,Carvalho,F,36,beatriz.carvalho827@gmail.com,(24)93200-5333,Niterói,MG,2023-07-12
18,Amanda,Teixeira,F,39,amanda.teixeira258@gmail.com,(11)96464-3143,Curitiba,CE,2024-05-25
19,Paulo,Oliveira,M,78,paulo.oliveira855@outlook.com,(50)96974-1653,Joinville,RJ,2023-12-26
20,Roberto,Correia,M,65,roberto.correia820@hotmail.com,,Florianópolis,PE,2023-05-24
21,Samuel,Santos,F,42,samuel.santos837@yahoo.com.br,(39)91387-4164,Salvador,ES,2023-07-26
22,Renata,Gomes,F,61,renata.gomes119@outlook.com,(24)98119-6663,Florianópolis,RJ,2024-02-28
23,Julia,Rodrigues,M,20,julia.rodrigues826@hotmail.com,(53)96143-3041,Londrina,PR,2024-04-04
24,Carolina,Lima,F,30,carolina.lima925@hotmail.com,(11)95978-5700,Porto Alegre,PE,2023-10-22
25,Eduardo,Monteiro,M,31,eduardo.monteiro291@outlook.com,(50)94680-4262,,GO,2022-05-30
26,Arthur,Melo,F,30,arthur.melo250@hotmail.com,,Niterói,ES,2024-11-26
27,Carolina,Costa,F,76,carolina.costa476@outlook.com,(75)97991-9976,Goiânia,GO,2024-07-10
28,Beatriz,Ribeiro,F,35,teste@,(80)92320-3267,Belo Horizonte,CE,31/02/2025
29,Diego,Araujo,M,47,diego.araujo399@gmail.com,(11)96763-5892,Salvador,BA,2025-01-07
30,Bianca,Correia,M,75,bianca.correia498@gmail.com,(32)98657-3091,Vitória,MS,2025-03-01
